dataMatrix	LivCan_299_014.mzML	LivCan_085_018.mzML	LivCan_300_015.mzML	LivCan_309_020.mzML	LivCan_086_019.mzML	LivCan_363_016.mzML
variable_2	19.5559381039549	19.5265682410312	19.3774372078574	19.6102372526588	19.3493258551461	19.5375610304662
variable_26	16.1717629964219	15.9573125563588	15.894321584694	15.5280907197468	16.0591882377332	15.7846095005126
variable_37	15.9601370580292	15.9875484534182	15.6453109617759	16.296295223999	16.1222606078813	15.8178721000159
variable_40	12.3785921207844	13.1250147272591	13.4076693317119	12.9535769812653	13.1738091587426	13.2986825712116
variable_45	13.7269337942548	15.3194791023061	16.6175350320443	17.8249134507882	16.590076238118	13.2356570323148
variable_66	12.9101421411015	12.9625926634213	12.9087321687639	13.0728154280351	12.7276938996752	12.9913707641994
variable_79	13.4656024125581	13.8785046539844	13.5895090257459	13.6621278200069	13.8860998337511	13.7012661929069
variable_94	12.2898492291728	12.7449084120387	NA	12.7182009397206	12.2358064228623	12.5293207293538
variable_102	16.1979786438853	14.8526113729745	15.1140815546258	15.8305305386642	15.0223974255599	14.9688074724644
variable_109	17.0942054000533	17.6832273539572	17.531132256221	17.6674149601214	17.7514306050147	17.697825753877
variable_114	19.3418761442282	15.8665595451802	15.6512279888054	15.2184379100583	16.9856393142109	15.9317830354644
variable_116	13.7254086898715	14.2191189153439	14.1856509672633	14.1709049640426	14.323708515586	14.2439747217859
variable_127	12.4134175534327	12.4458695232158	12.6712131403434	12.432799118681	12.4781620566093	12.0562737542569
variable_143	15.9537623928225	14.1794259061028	16.2375746731126	14.2828137719914	16.6271783879559	16.5774105407022
variable_144	12.2267457072247	NA	NA	13.5565440322389	12.684193464784	12.75120913806
variable_157	19.2166824100772	20.1058445939402	19.6526865032527	20.1025723613822	18.6539161846936	18.7791138201056
variable_165	14.7444440990821	15.5691470111637	15.1180777381042	15.6446539849304	14.0940229685672	14.2930605711122
variable_174	16.5654922446779	17.1398609400299	16.9722486693846	17.0880938559023	17.189095401185	17.1625284884885
variable_177	13.1488295384991	13.6736597802486	13.5421620600714	13.4637469304821	13.7788869730054	13.8356336827769
variable_188	16.6234384566729	16.5150056876605	16.8755734214494	16.6600992047205	16.7761336183083	16.483578934357
variable_195	15.6133689457137	15.7383618402479	NA	15.7713618674497	15.5735250780516	15.6279215648267
variable_207	12.2330384387767	12.5475571330309	12.2741163643388	NA	12.1896136420116	NA
variable_224	18.5478913000384	17.8571759136491	18.2464723755813	17.7142771805305	18.5467240686588	18.3335925570855
variable_226	11.8925964321773	12.515502930705	11.9538822134188	12.4449282095615	12.4594348650114	12.424699287566
variable_227	14.7991393675422	14.1368112091044	14.1319586508173	15.8339188399363	15.1439643439071	14.9993622447848
variable_230	14.6863274350431	13.9761977552163	14.2380579486384	13.8849842478238	14.6333680237032	14.3051313003289
variable_240	11.864604923312	12.8848150895439	12.4923811591515	12.5595086360692	NA	12.820023385702
variable_244	17.6029769608756	17.135353308222	17.1311371102853	16.5850145537556	17.3588864193806	16.9600371971947
variable_248	16.4590018833117	16.4643947290805	16.4551242010814	16.4809043000533	16.5099449380027	16.4662110143947
variable_249	13.6606405666097	13.196089717386	12.9983421042955	13.4030982213372	13.3074378592338	NA
variable_256	13.5806574217779	13.8428926146757	13.8212351492781	13.908492700092	13.7894341322134	13.7971257260084
variable_263	13.2596032234507	13.4581598550822	13.286988796041	13.5232386339771	13.3493550561932	13.8794106101908
variable_268	14.4655889702776	14.1144842759828	12.8306766391147	14.2723324388772	14.8143277401065	NA
variable_280	15.1043691821113	14.8745901134431	14.9466416590201	16.2081539791642	15.3268137076928	15.0622697171602
variable_298	13.6201023881544	13.2292172194326	12.6681459820688	12.5609674271107	12.8450348828504	13.0753916542481
variable_307	14.313211919788	13.783502511096	14.1110834616964	14.4103478802245	14.2857369209638	13.9644951602382
variable_312	14.1501114805215	14.1025002077975	14.1342637676833	14.0194705061668	13.9580981441051	14.0480061957791
variable_324	13.484087774955	12.6535088875705	13.1052977540346	NA	NA	12.6415525043025
variable_330	17.1302268834626	13.7564665566854	13.6935356959327	13.1193157062025	14.9105496677669	13.8781552755922
variable_342	NA	NA	14.9785733283808	15.7494836910655	14.9933846676815	13.9773064516943
variable_349	13.2890480458866	13.5761237559447	15.5354304166312	12.4455170117126	14.5157427060597	12.829601603472
variable_377	13.8696361780116	14.1876816045379	14.2626005645245	14.6359313489631	14.3330338107472	14.0337998450154
variable_386	12.6447218097983	12.75282067554	13.1261448460971	12.8095541479843	12.7793542313765	13.0532430260302
variable_414	NA	12.4259392761058	12.4801337344375	12.2261469194736	12.1067790182427	12.5469303779322
variable_420	13.3760469148994	13.6537048414607	13.9146563784218	13.6146641956523	13.8204335002439	14.1790476692408
variable_436	13.2599022531414	12.7784442994177	12.9868477196482	13.4431490471451	12.9104631173712	12.5361860664483
variable_440	13.151529487433	12.4216732173158	12.7267902331665	12.9715202386079	12.7771805244291	12.5550149171905
variable_462	14.635147093572	14.0525924302511	14.4452539791832	13.2966384631198	14.2924836726874	14.541609645681
variable_473	14.2967824862147	14.3639234772023	14.6734047242318	14.4270414859022	14.3438879975188	14.6205221484715
variable_476	13.6356813355838	13.5737569783461	13.58006778604	13.7750238613774	13.5183469159758	13.4993642132589
variable_480	20.0689342612039	20.4246784448025	20.1168143216672	20.7045124530138	21.2205685201797	20.2314348838608
variable_487	16.5916824401373	16.9227035115463	16.6089850498312	17.2136339656553	17.7121831496223	16.7264259102626
variable_490	13.0144127919211	13.4439488923695	13.0195551540412	13.6833464163827	14.1384118910347	13.2516169433977
variable_509	15.4059135430873	15.3059788175689	15.3125071179866	15.4094729280944	15.1921551215244	15.2709115374153
variable_514	NA	13.1310258729908	13.338334079489	12.8716203790169	NA	12.62443991581
variable_521	15.2215412381378	15.1691142835064	15.1718003212658	15.2169924732117	15.0854282019636	15.1957363107368
variable_522	13.2400988470544	13.1663043322315	12.9944104460564	13.2354089167944	13.0230983418716	13.1285064842617
variable_528	12.1174808591105	12.031084492023	11.8990145990069	11.5873985226424	12.1490770400407	12.2180839508346
variable_539	14.5321450634455	14.3904174539342	14.431963887384	14.4682431910564	14.2916026685262	14.3498781899257
variable_549	12.1760539521	11.8882630021768	12.1843990866445	12.0884449733255	NA	12.1707590804518
variable_559	14.111049964137	13.9974526859767	14.2830258005376	14.1552093163604	14.0904702149243	14.3469254651132
variable_564	14.2471347802561	14.5486380187407	14.0056670287896	14.047060029931	14.9864039052151	14.1837149116343
variable_573	14.0861896966551	14.043309162038	14.010361455638	14.1290683413612	13.9131556124536	14.0422919509492
variable_581	11.85073662489	11.9157067245425	11.7085262001015	12.305320811992	NA	11.7290803065213
variable_585	13.3070520771535	13.0859991624852	13.2587571917145	13.4327195043441	13.1510934491106	13.1938689483015
variable_596	12.2568433548548	12.7642886853434	12.3972596581521	12.963486031547	12.2427469470701	12.7794459009725
variable_614	12.9016346464237	13.1221710283037	12.8211696329056	13.252730215853	12.8335148079217	12.9005086098428
variable_625	13.0289228482439	12.7791690180513	12.6687708897445	12.8037867511044	12.54567313968	12.9073079905676
variable_640	12.8898975839486	12.7673381413447	12.8204066952605	13.0105845754372	13.0627686076402	12.8613964518058
variable_644	13.3807868801434	13.5534666200332	13.4228182001176	13.6536452986895	13.4266207799024	13.2916005991071
variable_666	15.5093559986594	16.5713852889128	16.8315350752626	15.8610979186128	15.834586171879	16.8300681548134
variable_729	13.7728167798604	13.9102621780859	13.9105201930978	14.0868187090637	13.7934479996043	13.9101478298377
variable_746	14.4896339750336	14.5941109353363	14.6088370461146	14.7075128929245	14.8202592727085	14.5644906248186
variable_769	13.0675945787758	13.2720167865832	13.4174652281158	13.4042524645901	13.4094113509347	13.1301263152801
variable_771	15.0061071388951	14.8198662549186	14.741348194124	15.1439037248101	14.9562696333276	14.7004444143187
variable_775	12.6109827767645	11.8482017323806	NA	12.163501720323	12.0161556699749	NA
variable_827	13.4042447427728	13.5331312460741	13.302626807107	13.5372459546473	13.6295395368268	13.4101621541916
variable_832	13.1023328773739	13.6350286492228	13.3362938976238	13.4134120833626	13.6889884246637	13.6783599438816
variable_844	13.223129365688	12.9238394840981	12.915888791012	13.308465825247	12.8538007951731	12.6038913023105
variable_853	13.8275954512738	NA	13.2531655323301	12.9990999094188	NA	13.5443983190303
variable_870	14.7359576013122	14.5158718635324	13.2877230715823	13.8001895799871	14.1335226020959	13.433653752651
variable_905	11.8864803507924	12.4154069680628	12.3741295891137	12.4454044846588	12.6159455513291	12.3390091888283
variable_916	18.1245473312536	18.7374622747936	18.5736534543802	18.7016807969026	18.7990413640435	18.751556187475
variable_919	13.7331342625001	12.9470875924757	11.9203157748401	NA	12.5798346706005	12.9514147336909
variable_923	15.347476279346	15.8321546405038	15.7152510047097	15.865463957545	15.8836417317233	15.9141195960439
variable_931	12.3611529444371	12.8573346211281	12.8096517507255	12.9523835864566	12.5091039670705	12.5434447199703
