variableMetadata	parentMZ	parentRT	Score	MonoisotopicMass	SMILES	InChIKey	Name	NoExplPeaks	NumberPeaksUsed	InChI	OfflineMetFusionScore	MaximumTreeDepth	Identifier	ExplPeaks	InChIKey3	InChIKey2	InChIKey1	FragmenterScore	MolecularFormula	FragmenterScore_Values	FormulasOfExplPeaks	q.value
variable_2	61.0398	94.407	1.57505388225318	60.032362757	CN=NO	CIJBKNZDKBKMFU-UHFFFAOYSA-N	N-nitrosomethanamine	1	1	InChI=1S/CH4N2O/c1-2-3-4/h1H3,(H,2,4)	0.634427173804049	2	HMDB62508	44.0126064598411_999.0	N	UHFFFAOYSA	CIJBKNZDKBKMFU	181.513818505167	CH4N2O	NA	44.0126064598411:[CH3N2]+H+	0.10638230377318
variable_26	398.3274	85.19599999998	2	397.319208869	CCCCCCCCCCCCC\C=C\C(=O)OC(CC([O-])=O)C[N+](C)(C)C	SOYNLLDADLOGAM-ISLYRVAYSA-N	trans-Hexadec-2-enoyl carnitine	2	4	InChI=1S/C23H43NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-23(27)28-21(19-22(25)26)20-24(2,3)4/h17-18,21H,5-16,19-20H2,1-4H3/b18-17+	1.85898463817363	2	HMDB06317	45.0440911980158_486.2;125.060873297623_332.5	N	ISLYRVAYSA	SOYNLLDADLOGAM	14.7016292283772	C23H43NO4	348.0;708.0	45.0440911980158:[CO2]+H+;125.060873297623:[C8H12O]+H+	0.351015408762853
variable_37	90.0551	354.27499999998	2	72.021129372	OC(=O)C=C	NIXOWILDQLNWCW-UHFFFAOYSA-N	Acrylic acid	1	1	InChI=1S/C3H4O2/c1-2-3(4)5/h2H,1H2,(H,4,5)	0.671311792384159	2	HMDB31647	44.0486770046739_999.0	N	UHFFFAOYSA	NIXOWILDQLNWCW	93.487573124491	C3H4O2	NA	44.0486770046739:[C2H3-H]+NH4+	0.142056726760305
variable_40	432.2401	40.788	1.99803171014229	414.204238692	COC1=CC(O)=C(C(=O)OC2CC3(C)C4CC(C)(C)CC4C=C(C=O)C23O)C(C)=C1	ISKWRTCZWOXOOF-UHFFFAOYSA-N	Armillarin	22	23	InChI=1S/C24H30O6/c1-13-6-16(29-5)8-18(26)20(13)21(27)30-19-11-23(4)17-10-22(2,3)9-14(17)7-15(12-25)24(19,23)28/h6-8,12,14,17,19,26,28H,9-11H2,1-5H3	7.3514180564853	2	HMDB39380	43.0169814164385_3.7;69.0332488409515_3.5;81.0344879431414_3.7;83.0502651054529_1.8;97.0285751447862_2.2;107.083999352694_3.7;111.045353206311_3.4;119.085895376957_798.6;120.089610262049_3.1;127.038466992245_8.8;129.054665841979_7.1;133.06422584711_11.7;135.080869246412_131.6;147.065505641259_13.8;263.12807291782_3.1;277.1072975114_4.4;279.124718393142_1.7;281.140309338479_151.8;295.118616256672_19.8;397.201563234047_13.8;415.213898190712_999.0;416.214735337489_4.3	N	UHFFFAOYSA	ISKWRTCZWOXOOF	361.784564261037	C24H30O6	796.0;796.0;1044.0;1044.0;1256.0;808.0;1492.0;808.0;708.0;1044.0;1244.0;820.0;820.0;820.0;796.0;348.0;1244.0;796.0;1044.0;360.0;360.0;448.0	43.0169814164385:[C3H6+H]+;69.0332488409515:[C5H10-H]+;81.0344879431414:[C6H9]+;83.0502651054529:[C6H11]+;97.0285751447862:[C5H7O2-2H]+;107.083999352694:[C7H6O+H]+;111.045353206311:[C6H6O-H]+NH4+;119.085895376957:[C8H8O-H]+;120.089610262049:[C8H8O]+;127.038466992245:[C6H7O3]+;129.054665841979:[C6H7O3+2H]+;133.06422584711:[C8H6O2-H]+;135.080869246412:[C8H6O2+H]+;147.065505641259:[C9H8O2-H]+;263.12807291782:[C14H16O5-H]+;277.1072975114:[C16H21O4]+;279.124718393142:[C15H19O4-2H]+NH4+;281.140309338479:[C14H16O5-H]+NH4+;295.118616256672:[C14H13O6]+NH4+;397.201563234047:[C24H29O5]+;415.213898190712:[C24H29O5]+NH4+;416.214735337489:[C23H27O6-H]+NH4+	0.104148289310304
variable_45	96.0443	83.685	1.97969548816044	95.037113787	OC1=CC=CC=N1	UBQKCCHYAOITMY-UHFFFAOYSA-N	2-Hydroxypyridine	1	1	InChI=1S/C5H5NO/c7-5-3-1-2-4-6-5/h1-4H,(H,6,7)	4.00768481080675	2	HMDB13751	79.0415248184479_999.0	N	UHFFFAOYSA	UBQKCCHYAOITMY	182.394973115686	C5H5NO	NA	79.0415248184479:[C5H4N]+H+	0.10613431665533
variable_66	61.0398	94.407	1.57505388225318	60.032362757	CN=NO	CIJBKNZDKBKMFU-UHFFFAOYSA-N	N-nitrosomethanamine	1	1	InChI=1S/CH4N2O/c1-2-3-4/h1H3,(H,2,4)	0.634427173804049	2	HMDB62508	44.0126064598411_999.0	N	UHFFFAOYSA	CIJBKNZDKBKMFU	181.513818505167	CH4N2O	NA	44.0126064598411:[CH3N2]+H+	0.10638230377318
variable_79	432.2401	40.788	1.99803171014229	414.204238692	COC1=CC(O)=C(C(=O)OC2CC3(C)C4CC(C)(C)CC4C=C(C=O)C23O)C(C)=C1	ISKWRTCZWOXOOF-UHFFFAOYSA-N	Armillarin	22	23	InChI=1S/C24H30O6/c1-13-6-16(29-5)8-18(26)20(13)21(27)30-19-11-23(4)17-10-22(2,3)9-14(17)7-15(12-25)24(19,23)28/h6-8,12,14,17,19,26,28H,9-11H2,1-5H3	7.3514180564853	2	HMDB39380	43.0169814164385_3.7;69.0332488409515_3.5;81.0344879431414_3.7;83.0502651054529_1.8;97.0285751447862_2.2;107.083999352694_3.7;111.045353206311_3.4;119.085895376957_798.6;120.089610262049_3.1;127.038466992245_8.8;129.054665841979_7.1;133.06422584711_11.7;135.080869246412_131.6;147.065505641259_13.8;263.12807291782_3.1;277.1072975114_4.4;279.124718393142_1.7;281.140309338479_151.8;295.118616256672_19.8;397.201563234047_13.8;415.213898190712_999.0;416.214735337489_4.3	N	UHFFFAOYSA	ISKWRTCZWOXOOF	361.784564261037	C24H30O6	796.0;796.0;1044.0;1044.0;1256.0;808.0;1492.0;808.0;708.0;1044.0;1244.0;820.0;820.0;820.0;796.0;348.0;1244.0;796.0;1044.0;360.0;360.0;448.0	43.0169814164385:[C3H6+H]+;69.0332488409515:[C5H10-H]+;81.0344879431414:[C6H9]+;83.0502651054529:[C6H11]+;97.0285751447862:[C5H7O2-2H]+;107.083999352694:[C7H6O+H]+;111.045353206311:[C6H6O-H]+NH4+;119.085895376957:[C8H8O-H]+;120.089610262049:[C8H8O]+;127.038466992245:[C6H7O3]+;129.054665841979:[C6H7O3+2H]+;133.06422584711:[C8H6O2-H]+;135.080869246412:[C8H6O2+H]+;147.065505641259:[C9H8O2-H]+;263.12807291782:[C14H16O5-H]+;277.1072975114:[C16H21O4]+;279.124718393142:[C15H19O4-2H]+NH4+;281.140309338479:[C14H16O5-H]+NH4+;295.118616256672:[C14H13O6]+NH4+;397.201563234047:[C24H29O5]+;415.213898190712:[C24H29O5]+NH4+;416.214735337489:[C23H27O6-H]+NH4+	0.104148289310304
variable_94	340.248	100.14100000002	2	322.214409448	CCCCCCCC(O)CC(=O)CCC1=CC(OC)=C(O)C=C1	BCIWKKMTBRYQJU-UHFFFAOYSA-N	(S)-[8]-Gingerol	3	3	InChI=1S/C19H30O4/c1-3-4-5-6-7-8-16(20)14-17(21)11-9-15-10-12-18(22)19(13-15)23-2/h10,12-13,16,20,22H,3-9,11,14H2,1-2H3	3.23754107751215	2	HMDB33615	60.0800963326201_502.9;85.028902765913_999.0;161.130108286166_280.9	N	UHFFFAOYSA	BCIWKKMTBRYQJU	56.5862040926569	C19H30O4	448.0;796.0;348.0	60.0800963326201:[C3H7-H]+NH4+;85.028902765913:[C5H10O-H]+;161.130108286166:[C9H19O]+NH4+	0.179707011699013
variable_102	116.1069	102.07000000002	1.9500128149675	98.073164942	CC(=C)CC(C)=O	VADUDTKCGJKNDY-UHFFFAOYSA-N	4-Methyl-4-penten-2-one	4	4	InChI=1S/C6H10O/c1-5(2)4-6(3)7/h1,4H2,2-3H3	3.58123405792513	2	HMDB31564	58.0643154842284_999.0;59.0728234687328_799.4;74.0975350749085_287.3;75.044024098349_337.0	N	UHFFFAOYSA	VADUDTKCGJKNDY	327.650156071741	C6H10O	448.0;348.0;448.0;348.0	58.0643154842284:[C3H5-H]+NH4+;59.0728234687328:[C3H5]+NH4+;74.0975350749085:[C3H5O-H]+NH4+;75.044024098349:[C3H5O]+NH4+	0.104148289310304
variable_109	432.2401	40.788	1.99803171014229	414.204238692	COC1=CC(O)=C(C(=O)OC2CC3(C)C4CC(C)(C)CC4C=C(C=O)C23O)C(C)=C1	ISKWRTCZWOXOOF-UHFFFAOYSA-N	Armillarin	22	23	InChI=1S/C24H30O6/c1-13-6-16(29-5)8-18(26)20(13)21(27)30-19-11-23(4)17-10-22(2,3)9-14(17)7-15(12-25)24(19,23)28/h6-8,12,14,17,19,26,28H,9-11H2,1-5H3	7.3514180564853	2	HMDB39380	43.0169814164385_3.7;69.0332488409515_3.5;81.0344879431414_3.7;83.0502651054529_1.8;97.0285751447862_2.2;107.083999352694_3.7;111.045353206311_3.4;119.085895376957_798.6;120.089610262049_3.1;127.038466992245_8.8;129.054665841979_7.1;133.06422584711_11.7;135.080869246412_131.6;147.065505641259_13.8;263.12807291782_3.1;277.1072975114_4.4;279.124718393142_1.7;281.140309338479_151.8;295.118616256672_19.8;397.201563234047_13.8;415.213898190712_999.0;416.214735337489_4.3	N	UHFFFAOYSA	ISKWRTCZWOXOOF	361.784564261037	C24H30O6	796.0;796.0;1044.0;1044.0;1256.0;808.0;1492.0;808.0;708.0;1044.0;1244.0;820.0;820.0;820.0;796.0;348.0;1244.0;796.0;1044.0;360.0;360.0;448.0	43.0169814164385:[C3H6+H]+;69.0332488409515:[C5H10-H]+;81.0344879431414:[C6H9]+;83.0502651054529:[C6H11]+;97.0285751447862:[C5H7O2-2H]+;107.083999352694:[C7H6O+H]+;111.045353206311:[C6H6O-H]+NH4+;119.085895376957:[C8H8O-H]+;120.089610262049:[C8H8O]+;127.038466992245:[C6H7O3]+;129.054665841979:[C6H7O3+2H]+;133.06422584711:[C8H6O2-H]+;135.080869246412:[C8H6O2+H]+;147.065505641259:[C9H8O2-H]+;263.12807291782:[C14H16O5-H]+;277.1072975114:[C16H21O4]+;279.124718393142:[C15H19O4-2H]+NH4+;281.140309338479:[C14H16O5-H]+NH4+;295.118616256672:[C14H13O6]+NH4+;397.201563234047:[C24H29O5]+;415.213898190712:[C24H29O5]+NH4+;416.214735337489:[C23H27O6-H]+NH4+	0.104148289310304
variable_114	302.2329	108.11500000002	2	301.225308485	CC(C)CCCC(C)C(=O)OC(CC([O-])=O)C[N+](C)(C)C	QBYXBONNCVATNQ-UHFFFAOYSA-N	2,6 Dimethylheptanoyl carnitine	5	5	InChI=1S/C16H31NO4/c1-12(2)8-7-9-13(3)16(20)21-14(10-15(18)19)11-17(4,5)6/h12-14H,7-11H2,1-6H3	3.88236686685822	2	HMDB06320	60.0796848309844_457.3;71.0856006504111_230.7;85.0289583650297_936.1;243.158461757785_999.0;285.168391161859_288.3	N	UHFFFAOYSA	QBYXBONNCVATNQ	326.52825047305	C16H31NO4	305.0;348.0;665.0;305.0;405.0	60.0796848309844:[C3H9N]+H+;71.0856006504111:[C5H11]+;85.0289583650297:[C4H5O2]+;243.158461757785:[C13H22O4]+H+;285.168391161859:[C15H28NO4-H]+	0.104148289310304
variable_116	432.2401	40.788	1.99803171014229	414.204238692	COC1=CC(O)=C(C(=O)OC2CC3(C)C4CC(C)(C)CC4C=C(C=O)C23O)C(C)=C1	ISKWRTCZWOXOOF-UHFFFAOYSA-N	Armillarin	22	23	InChI=1S/C24H30O6/c1-13-6-16(29-5)8-18(26)20(13)21(27)30-19-11-23(4)17-10-22(2,3)9-14(17)7-15(12-25)24(19,23)28/h6-8,12,14,17,19,26,28H,9-11H2,1-5H3	7.3514180564853	2	HMDB39380	43.0169814164385_3.7;69.0332488409515_3.5;81.0344879431414_3.7;83.0502651054529_1.8;97.0285751447862_2.2;107.083999352694_3.7;111.045353206311_3.4;119.085895376957_798.6;120.089610262049_3.1;127.038466992245_8.8;129.054665841979_7.1;133.06422584711_11.7;135.080869246412_131.6;147.065505641259_13.8;263.12807291782_3.1;277.1072975114_4.4;279.124718393142_1.7;281.140309338479_151.8;295.118616256672_19.8;397.201563234047_13.8;415.213898190712_999.0;416.214735337489_4.3	N	UHFFFAOYSA	ISKWRTCZWOXOOF	361.784564261037	C24H30O6	796.0;796.0;1044.0;1044.0;1256.0;808.0;1492.0;808.0;708.0;1044.0;1244.0;820.0;820.0;820.0;796.0;348.0;1244.0;796.0;1044.0;360.0;360.0;448.0	43.0169814164385:[C3H6+H]+;69.0332488409515:[C5H10-H]+;81.0344879431414:[C6H9]+;83.0502651054529:[C6H11]+;97.0285751447862:[C5H7O2-2H]+;107.083999352694:[C7H6O+H]+;111.045353206311:[C6H6O-H]+NH4+;119.085895376957:[C8H8O-H]+;120.089610262049:[C8H8O]+;127.038466992245:[C6H7O3]+;129.054665841979:[C6H7O3+2H]+;133.06422584711:[C8H6O2-H]+;135.080869246412:[C8H6O2+H]+;147.065505641259:[C9H8O2-H]+;263.12807291782:[C14H16O5-H]+;277.1072975114:[C16H21O4]+;279.124718393142:[C15H19O4-2H]+NH4+;281.140309338479:[C14H16O5-H]+NH4+;295.118616256672:[C14H13O6]+NH4+;397.201563234047:[C24H29O5]+;415.213898190712:[C24H29O5]+NH4+;416.214735337489:[C23H27O6-H]+NH4+	0.104148289310304
variable_127	362.1517	90.726	2	361.143784348	CC1COC2=C3N1C=C(C(O)=O)C(=O)C3=CC(F)=C2N1CCN(C)CC1	GSDSWSVVBLHKDQ-UHFFFAOYSA-N	Ofloxacin	1	1	InChI=1S/C18H20FN3O4/c1-10-9-26-17-14-11(16(23)12(18(24)25)8-22(10)14)7-13(19)15(17)21-5-3-20(2)4-6-21/h7-8,10H,3-6,9H2,1-2H3,(H,24,25)	1.07618705721613	2	HMDB15296	318.160761208912_999.0	N	UHFFFAOYSA	GSDSWSVVBLHKDQ	182.970362564337	C18H20FN3O4	NA	318.160761208912:[C17H19FN3O2+H]+H+	0.10530267545682
variable_143	129.0656	369.582	2	111.032028409	OC(=O)C1=CC=CN1	WRHZVMBBRYBTKZ-UHFFFAOYSA-N	Pyrrole-2-carboxylic acid	2	2	InChI=1S/C5H5NO2/c7-5(8)4-2-1-3-6-4/h1-3,6H,(H,7,8)	3.46742585918619	2	HMDB04230	83.0593809256881_999.0;112.098270474374_787.9	N	UHFFFAOYSA	WRHZVMBBRYBTKZ	361.93673657947	C5H5NO2	448.0;360.0	83.0593809256881:[C4H4N-H]+NH4+;112.098270474374:[C5H4NO]+NH4+	0.104148289310304
variable_144	130.05	389.16100000002	1.75491109371406	129.042593095	OC(=O)CNC(=O)C=C	LZCXCXDOGAEFQX-UHFFFAOYSA-N	N-Acryloylglycine	4	4	InChI=1S/C5H7NO3/c1-2-4(7)6-3-5(8)9/h2H,1,3H2,(H,6,7)(H,8,9)	5.97999674897511	2	HMDB01843	41.0372813400121_70.0;43.0179979045032_64.7;57.0700503260321_72.3;84.0446127718978_999.0	N	UHFFFAOYSA	LZCXCXDOGAEFQX	137.267749057413	C5H7NO3	765.0;653.0;613.0;348.0	41.0372813400121:[C2H2O-H]+;43.0179979045032:[CHNO]+;57.0700503260321:[C3H4O]+H+;84.0446127718978:[C4H6NO]+	0.11675743086865
variable_157	132.0771	354.17599999998	2	131.069476547	CN(CC(O)=O)C(N)=N	CVSVTCORWBXHQV-UHFFFAOYSA-N	Creatine	6	6	InChI=1S/C4H9N3O2/c1-7(4(5)6)2-3(8)9/h2H2,1H3,(H3,5,6)(H,8,9)	5.17799520858451	2	HMDB00064	43.0288928511559_67.6;44.0489381976624_545.5;86.0693790649175_24.6;87.0554350051576_35.1;90.0552970091969_999.0;114.065631264876_17.6	N	UHFFFAOYSA	CVSVTCORWBXHQV	203.530038892083	C4H9N3O2	305.0;305.0;348.0;348.0;405.0;360.0	43.0288928511559:[CH3N2]+;44.0489381976624:[CH3N2]+H+;86.0693790649175:[C3H8N3]+;87.0554350051576:[C3H8N3]+H+;90.0552970091969:[C3H6NO2+H]+H+;114.065631264876:[C4H8N3O]+	0.104148289310304
variable_165	132.0771	354.17599999998	2	131.069476547	CN(CC(O)=O)C(N)=N	CVSVTCORWBXHQV-UHFFFAOYSA-N	Creatine	6	6	InChI=1S/C4H9N3O2/c1-7(4(5)6)2-3(8)9/h2H2,1H3,(H3,5,6)(H,8,9)	5.17799520858451	2	HMDB00064	43.0288928511559_67.6;44.0489381976624_545.5;86.0693790649175_24.6;87.0554350051576_35.1;90.0552970091969_999.0;114.065631264876_17.6	N	UHFFFAOYSA	CVSVTCORWBXHQV	203.530038892083	C4H9N3O2	305.0;305.0;348.0;348.0;405.0;360.0	43.0288928511559:[CH3N2]+;44.0489381976624:[CH3N2]+H+;86.0693790649175:[C3H8N3]+;87.0554350051576:[C3H8N3]+H+;90.0552970091969:[C3H6NO2+H]+H+;114.065631264876:[C4H8N3O]+	0.104148289310304
